organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Rhazya stricta	396313	PRJNA291945	291945	Plants	Land Plants	274.354	32.9	GCA_001752375.1	NA	MEJB01	979	NA	NA	2016-10-04	2016-10-04	Scaffold	King Abdulaziz University	SAMN03956791
Solanum pennellii	28526	PRJNA256426	256426	Plants	Land Plants	926.426	35.6914	GCA_001406875.2	chromosome 1:NC_028637.1/HG975440.1; chromosome 2:NC_028638.1/HG975441.1; chromosome 3:NC_028639.1/HG975442.1; chromosome 4:NC_028640.1/HG975443.1; chromosome 5:NC_028641.1/HG975444.1; chromosome 6:NC_028642.1/HG975445.1; chromosome 7:NC_028643.1/HG975446.1; chromosome 8:NC_028644.1/HG975447.1; chromosome 9:NC_028645.1/HG975448.1; chromosome 10:NC_028646.1/HG975449.1; chromosome 11:NC_028647.1/HG975450.1; chromosome 12:NC_028648.1/HG975451.1; chloroplast Pltd:HG975452.1	NA	12	32519	35068	2014-06-25	2015-12-23	Chromosome	NCBI	SAMEA3283146
Solanum habrochaites	62890	PRJEB5227	236990	Plants	Land Plants	724.285	33.6	GCA_000577655.1	NA	CBYS01	42990	NA	NA	2014-02-17	2015-01-30	Contig	PRI	SAMEA3138934
Elaeis oleifera	80265	PRJNA183707	183707	Plants	Land Plants	1402.73	40.8	GCA_000441515.1	NA	ASIR01	26756	NA	NA	2013-07-25	2014-08-11	Scaffold	Orion Genomics	SAMN02981531
Zizania latifolia	58934	PRJNA187578	187578	Plants	Land Plants	603.989	44.4	GCA_000418225.1	NA	ASSH01	4522	NA	NA	2013-07-03	2014-08-11	Scaffold	Zhejiang University	SAMN02981538
Hordeum pubiflorum	112521	PRJEB3404	213522	Plants	Land Plants	1425.27	47.5	GCA_000582825.1	NA	CBMN01	1818420	NA	NA	2013-08-21	2015-02-01	Scaffold	IPK-Gatersleben	SAMEA3138951
Fragaria iinumae	64939	PRJDB1478	231452	Plants	Land Plants	199.628	39.1	GCA_000511975.1	NA	BATU01	117822	NA	NA	2013-11-27	2015-10-09	Scaffold	Kazusa DNA Research Institute	SAMD00010918
Fragaria nipponica	101012	PRJDB1479	231453	Plants	Land Plants	206.415	38.4	GCA_000512025.1	NA	BATV01	215024	NA	NA	2013-11-27	2015-10-09	Scaffold	Kazusa DNA Research Institute	SAMD00010925
Fragaria nubicola	60188	PRJDB1480	231454	Plants	Land Plants	203.686	38.2	GCA_000511995.1	NA	BATW01	210780	NA	NA	2013-11-27	2015-10-09	Scaffold	Kazusa DNA Research Institute	SAMD00010927
Fragaria orientalis	101013	PRJDB1481	231455	Plants	Land Plants	214.184	38.1	GCA_000517285.1	NA	BATX01	323163	NA	NA	2013-11-27	2015-10-10	Scaffold	Kazusa DNA Research Institute	SAMD00010919
Azadirachta indica	124943	PRJNA176672	176672	Plants	Land Plants	261.458	43.2	GCA_000439995.3	NA	AMWY02	126142	NA	NA	2013-07-25	2015-06-16	Contig	Centre for Cellular and Molecular Plateforms	SAMN02715695
Genlisea aurea	192259	PRJNA208769	208769	Plants	Land Plants	43.3578	40.6	GCA_000441915.1	NA	AUSU01	10684	17685	17685	2013-07-26	2013-07-31	Scaffold	Lomonosov Moscow State University, Evolutionary Genomics Laboratory	SAMN02206260
Fraxinus excelsior	38873	PRJEB4958	230336	Plants	Land Plants	867.455	NA	GCA_900149125.1	NA	FTPI01	89515	NA	NA	2017-01-20	2017-01-20	Scaffold	QMUL	SAMEA2248197
Auxenochlorella protothecoides	3075	PRJNA182710	182710	Plants	Green Algae	22.9246	62.8	GCA_000733215.1	NA	APJO01	374	7016	7014	2014-07-23	2014-08-08	Scaffold	Beijing Genomics Institue, Shenzhen	SAMN02433493
Chlorella sorokiniana	3076	PRJNA290386	290386	Plants	Green Algae	59.5681	64	GCA_002245835.1	NA	LHPG01	160	NA	NA	2017-08-10	2017-08-10	Contig	University of Minnesota	SAMN03890866
Solanum arcanum	376710	PRJEB5226	236989	Plants	Land Plants	665.187	33.6	GCA_000612985.1	NA	CBYQ01	46594	NA	NA	2014-03-21	2015-01-30	Contig	PRI	SAMEA3138986
Dendrobium officinale	142615	PRJNA382192	382192	Plants	Land Plants	1008.68	35.3003	GCA_001605985.1	chloroplast Pltd:NC_024019.1/KC771275.1	JSDN01	72902	24722	34527	2016-02-26	2017-12-21	Scaffold	NCBI	SAMN03083363
Aquilaria agallochum	1472648	PRJNA240626	240626	Plants	Land Plants	726.71	37.5	GCA_000696445.1	NA	JMHV01	27769	NA	NA	2014-05-29	2014-05-30	Scaffold	Academia Sinica	SAMN02677707
Nicotiana otophora	4091	PRJNA208212	208212	Plants	Land Plants	2689.35	39.1	GCA_000715115.1	NA	AWOL01	929607	NA	NA	2014-06-05	2015-04-28	Scaffold	Philip Morris International R&D	SAMN02316630
Penstemon centranthifolius	69924	PRJNA242923	242923	Plants	Land Plants	4.47159	39.9	GCA_000737435.1	NA	JPFH01	6761	NA	NA	2014-08-04	2014-08-04	Contig	Ohio State University	SAMN02711299
Penstemon grinnellii	388155	PRJNA242923	242923	Plants	Land Plants	3.66352	39.8	GCA_000737425.1	NA	JPFI01	5523	NA	NA	2014-08-04	2014-08-04	Contig	Ohio State University	SAMN02711300
Dioscorea rotundata	55577	PRJDB3383	396170	Plants	Land Plants	456.675	31.5652	GCA_002240015.2	chromosome 1:BDMI01000001.1; chromosome 2:BDMI01000002.1; chromosome 3:BDMI01000003.1; chromosome 4:BDMI01000004.1; chromosome 5:BDMI01000005.1; chromosome 6:BDMI01000006.1; chromosome 7:BDMI01000007.1; chromosome 8:BDMI01000008.1; chromosome 9:BDMI01000009.1; chromosome 10:BDMI01000010.1; chromosome 11:BDMI01000011.1; chromosome 12:BDMI01000012.1; chromosome 13:BDMI01000013.1; chromosome 14:BDMI01000014.1; chromosome 15:BDMI01000015.1; chromosome 16:BDMI01000016.1; chromosome 17:BDMI01000017.1; chromosome 18:BDMI01000018.1; chromosome 19:BDMI01000019.1; chromosome 20:BDMI01000020.1; chromosome 21:BDMI01000021.1	BDMI01	21	NA	NA	2017-07-28	2017-07-28	Chromosome	Iwate Biotechnology Research Center	SAMD00039982
Raphanus raphanistrum subsp. raphanistrum	109997	PRJNA209513	209513	Plants	Land Plants	253.834	35	GCA_000769845.1	NA	JRQH01	64732	NA	NA	2014-10-28	2014-10-28	Contig	Michigan State University	SAMN02213662
Diospyros lotus	55363	PRJNA256104	256104	Plants	Land Plants	1.10419	39.5	GCA_000774125.1	NA	JRBH01	796	NA	NA	2014-11-10	2014-11-10	Scaffold	University of California Davis	SAMN03019951
Macadamia integrifolia	60698	PRJEB13765	339709	Plants	Land Plants	518.49	NA	GCA_900087525.1	NA	FLKO01	193493	NA	NA	2016-08-22	2016-08-22	Scaffold	SOUTHERNCROSSPLANTSCIENCE	SAMEA3947945
Phalaenopsis hybrid cultivar	200642	PRJNA271641	271641	Plants	Land Plants	2687.66	30	GCA_002079205.1	NA	JXCR01	149149	NA	NA	2017-04-04	2017-04-04	Scaffold	National Pingtung University of Science and Technology	SAMN03275712
Primula veris	170927	PRJNA238546	238546	Plants	Land Plants	309.693	35.1	GCA_000788445.1	NA	JTKG01	8756	NA	NA	2014-12-03	2014-12-03	Scaffold	University of Zurich	SAMN02644982
Coccomyxa sp. LA000219	1579116	PRJNA269066	269066	Plants	Green Algae	48.5465	54.7	GCA_000812005.1	NA	JUGA01	106	NA	NA	2014-12-30	2015-01-02	Scaffold	University of Helsinki	SAMN03248237
Arachis ipaensis	130454	PRJNA316874	316874	Plants	Land Plants	1353.5	37.7748	GCA_000816755.2	chromosome B01:NC_029785.2/CM003054.2; chromosome B02:NC_029786.2/CM003055.2; chromosome B03:NC_029787.2/CM003056.2; chromosome B04:NC_029788.2/CM003057.2; chromosome B05:NC_029789.2/CM003058.2; chromosome B06:NC_029790.2/CM003059.2; chromosome B07:NC_029791.2/CM003060.2; chromosome B08:NC_029792.2/CM003061.2; chromosome B09:NC_029793.2/CM003062.2; chromosome B10:NC_029794.2/CM003063.2	JQIO01	997	49769	57621	2014-12-11	2017-04-11	Chromosome	NCBI	SAMN02982874
Trebouxia gelatinosa	53269	PRJNA263654	263654	Plants	Green Algae	61.7262	50.4	GCA_000818905.1	NA	JUBA01	848	NA	NA	2015-01-15	2015-01-16	Scaffold	University of Helsinki	SAMN03104849
Picochlorum sp. SENEW3	1470871	PRJNA245752	245752	Plants	Green Algae	13.3907	46.1	GCA_000876415.1	NA	JPID01	880	NA	NA	2014-07-28	2014-07-28	Scaffold	Rutgers, The State University	SAMN02739349
Monoraphidium neglectum	145388	PRJNA293989	293989	Plants	Green Algae	69.7118	64.1131	GCA_000611645.1	mitochondrion MT:NW_014013625.1/CM002677.1; chloroplast CP:NW_014013626.1/CM002678.1	AYTC01	6720	16807	16755	2014-03-28	2015-02-26	Scaffold	NCBI	SAMN02981574
Ipomoea trifida	35884	PRJDB3230	279570	Plants	Land Plants	512.991	40.1	GCA_000978395.1	NA	BBOG01	77400	NA	NA	2015-03-27	2015-10-21	Scaffold	Kazusa DNA Research Institute	SAMD00020908
Hibiscus syriacus	106335	PRJNA320964	320964	Plants	Land Plants	1748.25	NA	GCA_001696755.1	NA	MBGJ01	77488	NA	NA	2016-07-29	2016-07-29	Scaffold	Korea Research Institute of Bioscience and Biotechnology	SAMN04961617
Fagopyrum tataricum	62330	PRJNA381676	381676	Plants	Land Plants	505.883	38.7564	GCA_002319775.1	chromosome 1:CM008279.1; chromosome 2:CM008280.1; chromosome 3:CM008281.1; chromosome 4:CM008282.1; chromosome 5:CM008283.1; chromosome 6:CM008284.1; chromosome 7:CM008285.1; chromosome 8:CM008286.1	NCTC01	7020	NA	NA	2017-09-20	2017-09-21	Chromosome	Institute of Genetics and Developmental Biology Chinese Academy of Sciences	SAMN06686189
Selaginella kraussiana	81964	PRJNA284650	284650	Plants	Land Plants	114.503	44.7	GCA_001021135.1	NA	LDJE01	105914	NA	NA	2015-06-05	2016-03-03	Scaffold	Shanghai Institutes for Biological Sciences	SAMN03704959
Primula vulgaris	175104	PRJEB7311	261506	Plants	Land Plants	1.50478	35.6	GCA_001077355.1	NA	CDJJ02	229	NA	NA	2015-01-28	2015-01-28	Scaffold	TGAC	SAMEA2802728
Dactylis glomerata	4509	PRJNA371686	371686	Plants	Land Plants	839.915	45.4	GCA_002892645.1	NA	MVYT01	1072009	NA	NA	2018-01-19	2018-01-19	Scaffold	Sichuan Agricutural University	SAMN06310890
Oropetium thomaeum	1148796	PRJNA286116	286116	Plants	Land Plants	243.175	45.3	GCA_001182835.1	NA	LFJQ01	625	NA	NA	2015-07-20	2015-11-20	Contig	Donald Danforth Plant Science Center	SAMN03765142
uncultured Bathycoccus	528323	PRJNA68167	68167	Plants	Green Algae	5.18308	48.2	GCA_000259855.1	NA	AFUW01	185	NA	NA	2011-10-31	2014-08-11	Contig	Monterey Bay Aquarium Research Institue	SAMN02981353
Carnegiea gigantea	171969	PRJNA318822	318822	Plants	Land Plants	980.351	36.1	GCA_002740515.1	NA	NCQR01	57405	NA	NA	2017-10-31	2017-10-31	Scaffold	The University of Arizona	SAMN04868325
Solanum commersonii	4109	PRJNA269007	269007	Plants	Land Plants	729.603	34.7	GCA_001239805.1	NA	JXZD01	63664	NA	NA	2015-04-21	2015-07-29	Scaffold	Universita di Verona	SAMN03247563
Cymbomonas tetramitiformis	36881	PRJNA286761	286761	Plants	Green Algae	281.27	48.9	GCA_001247695.1	NA	LGRX01	40243	NA	NA	2015-08-05	2017-12-14	Scaffold	American Museum of Natural History	SAMN03799721
Ocimum tenuiflorum	204149	PRJNA223343	223343	Plants	Land Plants	332.617	35.8	GCA_001278415.1	NA	AYJT01	121993	NA	NA	2015-09-02	2015-09-02	Contig	Centre for Cellular and Molecular Plateforms	SAMN02378864
Vitis cinerea x Vitis riparia	266788	PRJEB5934	288647	Plants	Land Plants	539.624	34.2	GCA_001282645.1	NA	CCJE01	210444	NA	NA	2015-06-30	2015-06-30	Scaffold	RWTH Aachen	SAMEA2532534
Silybum marianum	92921	PRJNA251972	251972	Plants	Land Plants	1477.57	37.2	GCA_001541825.1	NA	LMWD01	258575	NA	NA	2016-01-26	2016-01-26	Contig	Jiangnan University	SAMN04161469
Eutrema yunnanense	347893	PRJNA419026	419026	Plants	Land Plants	415.364	35.4	GCA_002933935.1	NA	PKML01	78020	NA	NA	2018-02-20	2018-02-20	Scaffold	Sichuan University	SAMN08200759
Eutrema heterophyllum	347889	PRJNA419026	419026	Plants	Land Plants	348.971	37	GCA_002933915.1	NA	PKMM01	57686	NA	NA	2018-02-20	2018-02-20	Scaffold	Sichuan University	SAMN08200758
Arabis montbretiana	746018	PRJNA258048	258048	Plants	Land Plants	199.12	35.8	GCA_001484125.1	NA	LNCH01	28775	NA	NA	2016-01-04	2016-01-04	Contig	Max-Planck-Institute for Plant Breeding Research	SAMN02983095
Arabis nordmanniana	571359	PRJNA258061	258061	Plants	Land Plants	342.307	35	GCA_001484925.1	NA	LNCG01	267228	NA	NA	2016-01-04	2016-01-04	Scaffold	Max-Planck-Institute for Plant Breeding Research	SAMN02983203
Vitis aestivalis	3605	PRJNA302606	302606	Plants	Land Plants	432.755	33.8	GCA_001562795.1	NA	LOML01	756125	NA	NA	2016-02-17	2016-02-17	Contig	Missouri State University	SAMN04276630
Monotropa hypopitys	176248	PRJNA310692	310692	Plants	Land Plants	2197.49	41.2	GCA_002855965.1	NA	NMUG01	1259264	NA	NA	2018-01-03	2018-01-03	Contig	Institute of Bioengineering, Research Center of Biotechnology of RAS	SAMN04453695
Panicum miliaceum	4540	PRJNA429322	429322	Plants	Land Plants	848.309	46.3	GCA_002895445.1	NA	PPDP01	892	NA	NA	2018-01-23	2018-01-23	Scaffold	China Agricultural University	SAMN08335224
Zoysia japonica	309978	PRJDB4210	315537	Plants	Land Plants	334.384	42.6	GCA_001602275.1	NA	BCLF01	11786	NA	NA	2016-03-15	2016-06-03	Scaffold	Lab. of Plant Genomics and Genetics, Department of Plant Genome Research, Kazusa DNA Research Institute	SAMD00041943
Zoysia matrella	38722	PRJDB4210	315537	Plants	Land Plants	563.439	43.3	GCA_001602295.1	NA	BCLG01	13609	NA	NA	2016-03-15	2016-06-03	Scaffold	Lab. of Plant Genomics and Genetics, Department of Plant Genome Research, Kazusa DNA Research Institute	SAMD00041944
Zoysia pacifica	1070856	PRJDB4210	315537	Plants	Land Plants	397.01	43.2	GCA_001602315.1	NA	BCLH01	11428	NA	NA	2016-03-15	2016-06-03	Scaffold	Lab. of Plant Genomics and Genetics, Department of Plant Genome Research, Kazusa DNA Research Institute	SAMD00041945
Micromonas commoda	296587	PRJNA15676	15676	Plants	Green Algae	21.1093	63.8223	GCA_000090985.2	chromosome 1:NC_013038.1/CP001574.1; chromosome 2:NC_013039.1/CP001323.1; chromosome 3:NC_013040.1/CP001324.1; chromosome 4:NC_013041.1/CP001325.1; chromosome 5:NC_013042.1/CP001326.1; chromosome 6:NC_013043.1/CP001327.1; chromosome 7:NC_013044.1/CP001328.1; chromosome 8:NC_013045.1/CP001575.1; chromosome 9:NC_013046.1/CP001329.1; chromosome 10:NC_013047.1/CP001576.1; chromosome 11:NC_013048.1/CP001330.1; chromosome 12:NC_013049.1/CP001577.1; chromosome 13:NC_013050.1/CP001331.1; chromosome 14:NC_013051.1/CP001332.1; chromosome 15:NC_013052.1/CP001333.1; chromosome 16:NC_013053.1/CP001334.1; chromosome 17:NC_013054.1/CP001335.1; mitochondrion MT:NC_012643.1/FJ859351.1; chloroplast Pltd:NC_012575.1/FJ858267.1	NA	19	10125	10137	2009-04-10	2017-06-23	Complete Genome	Micromonas genome consortium	SAMN03081421
Quercus lobata	97700	PRJNA308314	308314	Plants	Land Plants	759.241	34.5	GCA_001633185.1	NA	LRBV01	40156	NA	NA	2016-04-28	2016-04-28	Scaffold	University of Maryland Center for Environmental Science	SAMN04359389
Dichanthelium oligosanthes	888268	PRJNA305932	305932	Plants	Land Plants	589.166	47.5	GCA_001633215.2	NA	LWDX02	17436	26468	26468	2016-04-28	2016-09-29	Scaffold	University of Nebraska	SAMN04335715
Coelastrella sp. M60	1489057	PRJNA306811	306811	Plants	Green Algae	80.2218	51.8	GCA_001630525.1	NA	LWCB01	16225	NA	NA	2016-04-25	2016-04-25	Contig	Madurai Kamaraj University	SAMN04497931
Mentha longifolia	38859	PRJNA310613	310613	Plants	Land Plants	353.287	36.7	GCA_001642375.1	NA	LSBG01	190876	NA	NA	2016-05-11	2016-05-11	Scaffold	Oregon State University	SAMN04452879
Eichhornia paniculata	44951	PRJNA310303	310303	Plants	Land Plants	571.388	33.2	GCA_001647135.1	NA	LTAE01	40286	NA	NA	2016-05-02	2016-05-02	Scaffold	University of Toronto	SAMN04450015
Musa itinerans	574487	PRJNA312694	312694	Plants	Land Plants	455.349	35.4	GCA_001649415.1	NA	LVTN01	28415	NA	NA	2016-05-21	2016-05-21	Scaffold	South China Botanic Garden, CAS	SAMN04505257
Metrosideros polymorpha var. glaberrima	101978	PRJDB4221	320241	Plants	Land Plants	304.366	38.2	GCA_001662345.1	NA	BCNH01	36376	NA	NA	2016-04-28	2016-09-09	Scaffold	Forest Biology, Division of Forest and Biomaterials Science	SAMD00044343
Chlamydomonas applanata	35704	PRJDB4711	320242	Plants	Green Algae	78.5042	56.3	GCA_001662365.1	NA	BDCZ01	2533	NA	NA	2016-04-22	2016-04-22	Scaffold	Department of Life Sciences, Graduate School of Arts and Sciences, University of Tokyo	SAMD00049913
Chlamydomonas asymmetrica	51683	PRJDB4711	320242	Plants	Green Algae	141.916	55.1	GCA_001662385.1	NA	BDDA01	4102	NA	NA	2016-04-22	2016-04-22	Scaffold	Department of Life Sciences, Graduate School of Arts and Sciences, University of Tokyo	SAMD00049914
Chlamydomonas debaryana	47281	PRJDB4711	320242	Plants	Green Algae	120.364	62.3	GCA_001662405.1	NA	BDDB01	10139	NA	NA	2016-04-22	2016-04-22	Scaffold	Department of Life Sciences, Graduate School of Arts and Sciences, University of Tokyo	SAMD00049915
Chlamydomonas sphaeroides	28458	PRJDB4711	320242	Plants	Green Algae	122.189	65.9	GCA_001662425.1	NA	BDDC01	6890	NA	NA	2016-04-22	2016-04-22	Scaffold	Department of Life Sciences, Graduate School of Arts and Sciences, University of Tokyo	SAMD00049916
Rosa x damascena	3765	PRJNA322107	322107	Plants	Land Plants	711.72	37.6	GCA_001662545.1	NA	LYNE01	307872	NA	NA	2016-06-13	2016-06-13	Scaffold	BIO-FD&C CO.,LTD	SAMN05017599
Capsicum chinense	80379	PRJNA331024	331024	Plants	Land Plants	3070.91	34.8646	GCA_002271895.2	chromosome 1:CM008431.1; chromosome 2:CM008432.1; chromosome 3:CM008433.1; chromosome 4:CM008434.1; chromosome 5:CM008435.1; chromosome 6:CM008436.1; chromosome 7:CM008437.1; chromosome 8:CM008438.1; chromosome 9:CM008439.1; chromosome 10:CM008440.1; chromosome 11:CM008441.1; chromosome 12:CM008442.1	MCIT02	87978	34974	34974	2017-08-14	2017-11-02	Chromosome	Seoul National University	SAMN05435899
Chenopodium suecicum	434248	PRJNA326219	326219	Plants	Land Plants	536.949	33.3	GCA_001687025.1	NA	MATQ01	11198	NA	NA	2016-07-18	2016-07-18	Scaffold	King Abdullah University of Science and Technology	SAMN05271586
Chenopodium pallidicaule	882375	PRJNA326220	326220	Plants	Land Plants	337.011	35.7	GCA_001687005.1	NA	MATR01	3013	NA	NA	2016-07-18	2016-07-18	Scaffold	King Abdullah University of Science and Technology	SAMN05271594
Embelia ribes	459629	PRJNA343859	343859	Plants	Land Plants	660.51	33.4	GCA_001753735.1	NA	MKEJ01	107000	NA	NA	2016-10-06	2016-10-06	Scaffold	Transdisciplinary University	SAMN05787349
Ipomoea nil	35883	PRJDB4356	341476	Plants	Land Plants	735.231	37.6024	GCA_001879475.1	mitochondrion MT:NC_031158.1/AP017303.1; chloroplast Pltd:NC_031159.1/AP017304.1	BDFN01	3418	46335	51054	2016-09-01	2016-11-11	Scaffold	Laboratory of biological diversity / Hoshino group, National Institute for Basic Biology, National Institutes of Natural Sciences	SAMD00022859
Citrus unshiu	55188	PRJDB5882	417009	Plants	Land Plants	359.652	31.3	GCA_002897195.1	NA	BDQV01	20876	29039	37970	2017-12-06	2017-12-06	Scaffold	Genomics, Citrus Research Division, Institute of Fruit Tree and Tea Science, NARO	SAMD00083908
Corchorus capsularis	210143	PRJNA215142	215142	Plants	Land Plants	317.178	35.2	GCA_001974805.1	NA	AWWV01	16522	30716	29356	2017-01-30	2017-01-30	Scaffold	Basic & Applied Research on Jute Project, Bangladesh Jute Research Institute	SAMN03290679
Corchorus olitorius	93759	PRJNA215141	215141	Plants	Land Plants	334.912	35.5	GCA_001974825.1	NA	AWUE01	24918	37131	35704	2017-01-30	2017-01-30	Contig	Basic & Applied Research on Jute Project, Bangladesh Jute Research Institute	SAMN03160584
Bathycoccus sp. TOSAG39-1	1735750	PRJEB6603	253557	Plants	Green Algae	10.0579	47.3	GCA_900128745.1	NA	FQSR01	2118	NA	NA	2016-11-26	2016-11-26	Scaffold	GSC	SAMEA3727691
Ruellia speciosa	441023	PRJNA326965	326965	Plants	Land Plants	740.036	39.1	GCA_001909325.1	NA	MAYD01	794288	NA	NA	2016-12-20	2016-12-20	Contig	University of Colorado-Boulder	SAMN05185177
Drosera capensis	4366	PRJNA291419	291419	Plants	Land Plants	263.788	NA	GCA_001925005.1	NA	LIEC01	12713	NA	NA	2016-12-30	2016-12-30	Scaffold	University of California, Irvine	SAMN03951121
Citrus x paradisi x Citrus trifoliata	309804	PRJNA224728	224728	Plants	Land Plants	265.534	34.4	GCA_001929425.1	NA	AZHM01	238488	NA	NA	2017-01-03	2017-01-03	Contig	Citrus research and education center, University of Florida	SAMN02393795
Euclidium syriacum	345537	PRJEB16743	359523	Plants	Land Plants	229.211	35.4	GCA_900116095.1	NA	FPAK01	160	NA	NA	2016-12-31	2016-12-31	Scaffold	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA4527703
Conringia planisiliqua	311912	PRJEB16743	359523	Plants	Land Plants	184.156	35.4	GCA_900108845.1	NA	FNXX01	705	NA	NA	2016-12-31	2016-12-31	Scaffold	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA4523483
Cephalotus follicularis	3775	PRJDB4484	360597	Plants	Land Plants	1614.52	38.9	GCA_001972305.1	NA	BDDD01	16307	36503	36667	2017-01-12	2017-06-02	Scaffold	National Institute for Basic Biology	SAMD00045316
Ficus carica	3494	PRJDB4615	369065	Plants	Land Plants	247.091	NA	GCA_002002945.1	NA	BDEM01	27995	NA	NA	2017-01-28	2017-01-28	Scaffold	Fruit Tree Team, Fukuoka Agriculture and Forestry Research Center	SAMD00051603
Citrus cavaleriei	2709	PRJNA321657	321657	Plants	Land Plants	357.621	32.1	GCA_002013975.2	NA	MKYP02	14916	NA	NA	2017-03-03	2018-01-24	Scaffold	Huazhong Agriculture University	SAMN05519344
Atalantia buxifolia	76974	PRJNA327148	327148	Plants	Land Plants	315.806	30.7	GCA_002013935.1	NA	MKYR01	25600	NA	NA	2017-03-03	2017-04-21	Scaffold	Huazhong Agriculture University	SAMN05770693
Nicotiana obtusifolia	200316	PRJNA316794	316794	Plants	Land Plants	1222.77	38.4	GCA_002018475.1	NA	MCJB01	53128	NA	NA	2017-03-06	2017-03-06	Scaffold	Max Planck Institute for Chemical Ecology	SAMN04590138
Artocarpus camansi	709039	PRJNA301299	301299	Plants	Land Plants	631.308	33.2	GCA_002024485.1	NA	LNSY01	396025	NA	NA	2017-03-09	2017-03-09	Scaffold	Chicago Botanic Garden	SAMN04244126
Xerophyta viscosa	90708	PRJNA291133	291133	Plants	Land Plants	295.462	36.3	GCA_002076135.1	NA	MJHO01	896	NA	NA	2017-03-31	2017-03-31	Scaffold	Wageningen University	SAMN03940242
Nothapodytes nimmoniana	159386	PRJDB4994	329234	Plants	Land Plants	1.36527	33.8	GCA_002091855.1	NA	BDGC01	2301	NA	NA	2017-04-04	2017-04-04	Contig	Hokkaido Regional Breeding Center, Forest Tree Breeding Center	SAMD00056125
Trebouxia sp. TZW2008	1917417	PRJDB5287	381305	Plants	Green Algae	69.3465	49.7	GCA_002118135.1	NA	BDIU01	677	NA	NA	2017-04-01	2017-04-01	Scaffold	SOKENDAI (The Graduate University for Advanced Studies)	SAMD00066476
Herrania umbratica	108875	PRJNA389730	389730	Plants	Land Plants	234.039	33.9	GCA_002168275.2	NA	NHTG01	6074	20721	27748	2017-06-05	2017-06-05	Scaffold	NCBI	SAMN06806157
Klebsormidium nitens	105231	PRJDB718	248948	Plants	Other Plants	104.21	52.3703	GCA_000708835.1	chloroplast Pltd:DF238762.1; mitochondrion MT:DF238763.1	BANV01	1814	16273	16283	2014-05-29	2017-05-25	Scaffold	Tokyo Institute of Technology, Center for Biological Resources and Informatics	SAMD00000399
Solanum americanum	109975	PRJEB21468	395332	Plants	Land Plants	9.01369	36.2	GCA_900188915.1	NA	FYFB01	837	NA	NA	2017-07-21	2017-07-21	Contig	Earlham Institute	SAMEA50404918
Micractinium conductrix	554055	PRJNA290385	290385	Plants	Green Algae	61.0208	67.2	GCA_002245815.1	NA	LHPF01	301	NA	NA	2017-08-10	2017-08-11	Contig	University of Minnesota	SAMN03863807
Capsicum baccatum	33114	PRJNA308879	308879	Plants	Land Plants	3215.61	35.4251	GCA_002271885.2	chromosome 1:CM008443.1; chromosome 2:CM008444.1; chromosome 3:CM008445.1; chromosome 4:CM008446.1; chromosome 5:CM008447.1; chromosome 6:CM008448.1; chromosome 7:CM008449.1; chromosome 8:CM008450.1; chromosome 9:CM008451.1; chromosome 10:CM008452.1; chromosome 11:CM008453.1; chromosome 12:CM008454.1	MLFT02	23260	35853	35853	2017-08-16	2017-11-02	Chromosome	Seoul National University	SAMN04417068
Durio zibethinus	66656	PRJNA407962	407962	Plants	Land Plants	715.23	32.7	GCA_002303985.1	NA	NSDW01	677	44688	63007	2017-09-15	2017-09-15	Scaffold	NCBI	SAMN07563003
Kalanchoe fedtschenkoi	63787	PRJNA397334	397334	Plants	Land Plants	256.351	34.5	GCA_002312845.1	NA	NQLW01	1324	NA	NA	2017-09-19	2017-09-19	Scaffold	Oak Ridge National Laboratory	SAMN07509503
Scenedesmus quadricauda	3089	PRJNA394817	394817	Plants	Green Algae	65.3539	63.2	GCA_002317545.1	NA	NNCB01	13425	NA	NA	2017-09-20	2017-10-16	Contig	CSIR-National Botanical Research Institute	SAMN07360942
Chlamydomonas eustigma	1157962	PRJDB5468	401222	Plants	Green Algae	66.6295	43.7	GCA_002335675.1	NA	BEGY01	520	14111	14161	2017-09-01	2017-09-01	Scaffold	Department of Cell Genetics, National Institute of Genetics	SAMD00071608
Rhizophora apiculata	106626	PRJEB8423	407617	Plants	Land Plants	232.055	35	GCA_900174605.1	NA	FWPW01	142	NA	NA	2017-09-19	2017-09-19	Scaffold	Zhang Zhang	SAMEA103941919
Handroanthus impetiginosus	429701	PRJNA324125	324125	Plants	Land Plants	503.289	31.9	GCA_002762385.1	NA	NKXS01	13204	30271	30271	2017-11-09	2017-11-09	Scaffold	Instituto de Ciencias Biologicas,Universidade Federal de Goias	SAMN05195323
Pereskia humboldtii	1931378	PRJNA318822	318822	Plants	Land Plants	414.047	35.2	GCA_002740485.1	NA	NCQU01	126352	NA	NA	2017-10-31	2017-10-31	Scaffold	The University of Arizona	SAMN06196472
Pachycereus pringlei	154437	PRJNA318822	318822	Plants	Land Plants	629.656	34.5	GCA_002740445.1	NA	NCQS01	171584	NA	NA	2017-10-31	2017-10-31	Scaffold	The University of Arizona	SAMN06196469
